iter	Passed	Remaining
0	906	905230
1	1003	500825
2	1157	384572
3	1498	373025
4	2006	399391
5	2239	371044
6	2502	354992
7	2799	347101
8	2850	313901
9	3123	309187
10	3195	287269
11	3249	267505
12	3535	268422
13	3817	268843
14	4157	272982
15	4290	263841
16	4649	268870
17	4909	267825
18	5716	295134
19	6116	299689
20	6459	301118
21	6726	299010
22	7026	298477
23	7436	302405
24	7723	301230
25	8000	299728
26	8243	297057
27	8527	296033
28	8771	293705
29	9007	291240
30	9375	293065
31	9636	291511
32	9982	292510
33	10287	292274
34	10610	292551
35	10901	291927
36	11134	289800
37	11448	289835
38	11711	288575
39	11918	286038
40	12196	285286
41	12405	282954
42	12748	283727
43	13017	282843
44	13283	281911
45	13383	277557
46	13654	276876
47	13960	276876
48	14229	276161
49	14338	272424
50	14585	271411
51	14838	270515
52	15076	269381
53	15347	268868
54	15749	270611
55	16074	270963
56	16358	270626
57	16760	272212
58	17155	273614
59	17512	274364
60	17787	273805
61	18098	273811
62	18458	274531
63	18739	274063
64	19054	274085
65	19309	273261
66	19590	272806
67	19841	271950
68	20117	271442
69	20395	270974
70	20632	269963
71	20915	269577
72	21338	270968
73	21741	272068
74	22166	273390
75	22585	274586
76	22897	274468
77	23408	276705
78	23784	277286
79	24239	278752
80	24657	279755
81	24968	279521
82	25218	278620
83	25509	278173
84	25801	277740
85	26091	277296
86	26383	276874
87	26768	277416
88	27059	276980
89	27343	276473
90	27618	275882
91	27905	275412
92	28185	274885
93	28479	274496
94	28764	274020
95	29030	273373
96	29333	273070
97	29584	272294
98	29860	271761
99	30151	271367
100	30409	270670
101	30729	270544
102	31001	269986
103	31249	269226
104	31487	268390
105	31802	268220
106	32084	267767
107	32354	267222
108	32593	266430
109	32857	265845
110	33127	265314
111	33420	264975
112	33674	264327
113	33915	263588
114	34183	263060
115	34483	262789
116	34743	262210
117	34938	261147
118	35227	260803
119	35478	260173
120	35744	259667
121	36054	259473
122	36334	259066
123	36616	258679
124	36909	258369
125	37200	258040
126	37473	257591
127	37757	257222
128	37981	256451
129	38259	256046
130	38501	255404
131	38749	254804
132	39003	254256
133	39318	254104
134	39581	253617
135	39847	253151
136	40092	252555
137	40312	251803
138	40577	251345
139	40780	250509
140	41018	249892
141	41285	249455
142	41587	249232
143	41817	248581
144	42067	248051
145	42331	247608
146	42573	247042
147	42848	246667
148	43093	246126
149	43341	245599
150	43596	245122
151	43850	244638
152	44106	244171
153	44382	243813
154	44665	243501
155	44907	242963
156	45143	242395
157	45406	241975
158	45722	241838
159	45973	241361
160	46216	240843
161	46450	240278
162	46752	240072
163	46965	239412
164	47257	239151
165	47524	238770
166	47765	238255
167	48060	238014
168	48360	237797
169	48654	237549
170	48964	237376
171	49250	237091
172	49544	236837
173	49823	236518
174	50108	236224
175	50375	235847
176	50651	235514
177	50937	235229
178	51247	235052
179	51540	234796
180	51828	234516
181	52134	234319
182	52439	234116
183	52748	233927
184	53022	233584
185	53314	233322
186	53586	232972
187	53842	232552
188	54113	232199
189	54433	232057
190	54726	231800
191	55011	231507
192	55269	231101
193	55533	230719
194	55802	230365
195	56122	230216
196	56354	229709
197	56635	229402
198	56915	229093
199	57156	228627
200	57426	228278
201	57705	227966
202	57970	227596
203	58242	227260
204	58508	226898
205	58791	226603
206	59027	226128
207	59322	225881
208	59574	225470
209	59845	225134
210	60143	224897
211	60402	224515
212	60702	224286
213	60982	223981
214	61253	223648
215	61529	223328
216	61786	222943
217	62072	222662
218	62352	222362
219	62573	221852
220	62840	221504
221	63133	221250
222	63415	220959
223	63682	220615
224	63969	220338
225	64272	220120
226	64562	219852
227	64835	219531
228	65147	219338
229	65385	218897
230	65691	218685
231	65982	218424
232	66284	218199
233	66556	217871
234	66850	217620
235	67135	217337
236	67396	216977
237	67685	216707
238	67984	216468
239	68248	216120
240	68506	215753
241	68752	215348
242	69063	215148
243	69323	214788
244	69604	214496
245	69895	214232
246	70198	214004
247	70480	213714
248	70788	213504
249	71086	213260
250	71370	212973
251	71645	212662
252	71964	212480
253	72235	212155
254	72525	211887
255	72848	211716
256	73139	211448
257	73429	211181
258	73655	210727
259	73931	210421
260	74248	210229
261	74539	209962
262	74845	209738
263	75107	209389
264	75391	209105
265	75687	208852
266	76029	208723
267	76329	208482
268	76635	208255
269	76943	208032
270	77221	207727
271	77505	207442
272	77774	207112
273	78025	206737
274	78306	206444
275	78601	206187
276	78902	205944
277	79188	205661
278	79478	205391
279	79717	204989
280	80030	204776
281	80311	204481
282	80624	204266
283	80910	203984
284	81232	203794
285	81533	203549
286	81825	203281
287	82126	203035
288	82419	202770
289	82678	202420
290	82966	202141
291	83232	201809
292	83460	201387
293	83736	201081
294	84006	200760
295	84334	200579
296	84614	200281
297	84885	199964
298	85157	199649
299	85487	199471
300	85732	199092
301	86005	198780
302	86232	198363
303	86543	198138
304	86821	197838
305	87081	197498
306	87400	197291
307	87656	196941
308	87950	196679
309	88255	196439
310	88555	196189
311	88859	195947
312	89152	195680
313	89450	195424
314	89727	195120
315	90018	194850
316	90291	194540
317	90561	194222
318	90865	193978
319	91138	193670
320	91415	193368
321	91716	193118
322	92011	192853
323	92341	192662
324	92633	192392
325	92926	192124
326	93197	191809
327	93515	191592
328	93771	191248
329	94122	191096
330	94406	190808
331	94689	190519
332	94996	190278
333	95278	189987
334	95610	189793
335	95937	189589
336	96268	189395
337	96533	189067
338	96782	188712
339	97075	188439
340	97384	188200
341	97676	187927
342	98002	187719
343	98291	187439
344	98577	187154
345	98919	186974
346	99195	186670
347	99514	186447
348	99815	186188
349	100118	185934
350	100427	185690
351	100705	185389
352	100942	185013
353	101239	184746
354	101532	184475
355	101844	184236
356	102142	183971
357	102406	183644
358	102724	183416
359	103005	183120
360	103311	182869
361	103617	182619
362	103888	182305
363	104195	182055
364	104480	181768
365	104787	181516
366	105053	181195
367	105334	180901
368	105589	180560
369	105842	180218
370	106132	179938
371	106405	179631
372	106677	179321
373	107000	179097
374	107290	178817
375	107589	178553
376	107909	178322
377	108197	178040
378	108465	177722
379	108706	177363
380	109041	177156
381	109380	176955
382	109654	176650
383	109979	176425
384	110304	176201
385	110576	175890
386	110855	175593
387	111146	175313
388	111481	175103
389	111792	174854
390	112066	174548
391	112371	174289
392	112712	174088
393	113026	173842
394	113324	173573
395	113722	173455
396	114196	173452
397	114527	173230
398	114847	172990
399	115140	172711
400	115452	172459
401	115759	172199
402	116079	171959
403	116327	171612
404	116622	171333
405	116925	171067
406	117198	170759
407	117489	170475
408	117817	170245
409	118148	170018
410	118471	169779
411	118792	169538
412	119093	169269
413	119377	168973
414	119696	168728
415	119971	168420
416	120292	168178
417	120564	167867
418	120860	167589
419	121142	167291
420	121496	167094
421	121846	166889
422	122150	166620
423	122468	166372
424	122777	166110
425	123088	165852
426	123368	165551
427	123649	165250
428	123912	164927
429	124235	164684
430	124507	164372
431	124816	164110
432	125076	163784
433	125385	163520
434	125668	163225
435	125966	162947
436	126211	162601
437	126504	162318
438	126806	162046
439	127150	161828
440	127451	161554
441	127729	161250
442	128020	160964
443	128324	160694
444	128628	160424
445	128953	160180
446	129208	159848
447	129498	159560
448	129831	159325
449	130119	159034
450	130415	158754
451	130725	158489
452	130999	158182
453	131284	157888
454	131558	157580
455	131850	157294
456	132144	157012
457	132445	156736
458	132747	156462
459	133027	156163
460	133334	155894
461	133621	155603
462	133906	155308
463	134181	155002
464	134451	154692
465	134759	154423
466	135067	154156
467	135369	153881
468	135631	153561
469	135939	153293
470	136241	153019
471	136526	152724
472	136854	152478
473	137108	152149
474	137387	151849
475	137768	151660
476	138107	151426
477	138433	151176
478	138743	150909
479	139007	150591
480	139245	150246
481	139522	149943
482	139800	149641
483	140090	149353
484	140410	149095
485	140679	148784
486	140952	148477
487	141256	148203
488	141522	147889
489	141854	147644
490	142189	147402
491	142489	147122
492	142866	146923
493	143180	146658
494	143488	146387
495	143975	146297
496	144311	146053
497	144630	145792
498	144948	145529
499	145221	145221
500	145525	144944
501	145870	144708
502	146178	144435
503	146538	144212
504	146808	143901
505	147060	143573
506	147352	143283
507	147679	143028
508	147984	142751
509	148312	142496
510	148643	142243
511	148952	141970
512	149300	141733
513	149627	141476
